year,state,population,crime,crime_against_persons,crime_against_property,crime_against_society
2021,Alabama,1399530.0,166217.0,54449.0,89628.0,22140.0
2022,Alabama,2779767.0,252396.0,75110.0,128323.0,48963.0
2023,Alabama,2875321.0,250809.0,77703.0,129771.0,43335.0
2021,Alaska,137060.0,14984.0,6663.0,6686.0,1635.0
2022,Alaska,148447.0,16469.0,6528.0,8105.0,1836.0
2023,Alaska,197520.0,19428.0,7159.0,9938.0,2331.0
2020,Arizona,1351313.0,83933.0,18434.0,47279.0,18220.0
2021,Arizona,2760427.0,179385.0,44230.0,101616.0,33539.0
2022,Arizona,3140650.0,199069.0,50574.0,108281.0,40214.0
2023,Arizona,3781152.0,232844.0,61561.0,124120.0,47163.0
2020,Arkansas,1844146.0,232969.0,63287.0,134423.0,35259.0
2021,Arkansas,1919864.0,227166.0,65962.0,123012.0,38192.0
2022,Arkansas,1997146.0,216948.0,63897.0,118960.0,34091.0
2023,Arkansas,2064948.0,206302.0,62839.0,109425.0,34038.0
2021,California,2376930.0,139925.0,32704.0,81279.0,25942.0
2022,California,11252042.0,662187.0,137300.0,412718.0,112169.0
2023,California,20415931.0,1169699.0,256706.0,724983.0,188010.0
2020,Colorado,4044858.0,327846.0,60379.0,239283.0,28439.0
2021,Colorado,4381492.0,399259.0,70158.0,294897.0,34204.0
2022,Colorado,4270380.0,389618.0,71274.0,281396.0,36948.0
2023,Colorado,4308066.0,369393.0,70484.0,259174.0,39735.0
2020,Connecticut,2862137.0,111569.0,27784.0,74861.0,10778.0
2021,Connecticut,3113569.0,126268.0,31205.0,84370.0,10693.0
2022,Connecticut,3124628.0,129619.0,31229.0,87990.0,10400.0
2023,Connecticut,3182947.0,138189.0,30227.0,97694.0,10268.0
2020,Delaware,298909.0,66230.0,16131.0,37194.0,12905.0
2021,Delaware,304582.0,69333.0,16720.0,40060.0,12553.0
2022,Delaware,307937.0,68376.0,16551.0,38787.0,13038.0
2023,Delaware,315565.0,65911.0,16988.0,37658.0,11265.0
2020,District_of_Columbia,0.0,2535.0,1062.0,1065.0,408.0
2021,District_of_Columbia,0.0,2574.0,1300.0,1046.0,228.0
2022,District_of_Columbia,671803.0,72403.0,21196.0,45536.0,5671.0
2023,District_of_Columbia,678972.0,86900.0,23914.0,56798.0,6188.0
2021,Federal,0.0,2992.0,859.0,782.0,1351.0
2021,Florida,0.0,1588.0,427.0,969.0,192.0
2022,Florida,913395.0,207683.0,64389.0,116814.0,26480.0
2023,Florida,3167227.0,353863.0,105348.0,199326.0,49189.0
2020,Georgia,2546081.0,284980.0,80969.0,169319.0,34692.0
2021,Georgia,3652112.0,404506.0,118095.0,233877.0,52534.0
2022,Georgia,3870717.0,448088.0,131700.0,261594.0,54794.0
2023,Georgia,3450951.0,418208.0,120256.0,248506.0,49446.0
2022,Guam,0.0,7742.0,2111.0,5060.0,571.0
2023,Guam,0.0,5877.0,1175.0,4364.0,338.0
2021,Hawaii,985138.0,50058.0,11661.0,35378.0,3019.0
2022,Hawaii,994799.0,49262.0,12396.0,33989.0,2877.0
2023,Hawaii,987546.0,39961.0,11049.0,26323.0,2589.0
2020,Idaho,966222.0,70989.0,16515.0,31982.0,22881.0
2021,Idaho,961695.0,71298.0,16764.0,29548.0,24986.0
2022,Idaho,1165532.0,79155.0,18953.0,32208.0,27994.0
2023,Idaho,1176969.0,75591.0,18453.0,28584.0,28554.0
2020,Illinois,144795.0,15001.0,5430.0,8537.0,1034.0
2021,Illinois,2137917.0,115103.0,35697.0,67667.0,11739.0
2022,Illinois,8254619.0,498950.0,159726.0,306436.0,32788.0
2023,Illinois,9995556.0,593018.0,189753.0,362671.0,40594.0
2020,Indiana,1942576.0,157157.0,42922.0,86287.0,28970.0
2021,Indiana,3184142.0,229918.0,64500.0,117830.0,47588.0
2022,Indiana,3453811.0,237943.0,70884.0,120976.0,46083.0
2023,Indiana,3928403.0,266120.0,82754.0,133864.0,49502.0
2020,Iowa,2035794.0,130550.0,30180.0,79561.0,23935.0
2021,Iowa,2001210.0,129526.0,32406.0,73969.0,23151.0
2022,Iowa,1785241.0,112211.0,27933.0,61824.0,22454.0
2023,Iowa,2074560.0,135102.0,34256.0,73180.0,27666.0
2020,Kansas,1247919.0,85470.0,23761.0,46368.0,22162.0
2021,Kansas,1346628.0,108779.0,25608.0,59002.0,24169.0
2022,Kansas,1970687.0,170474.0,44603.0,94828.0,31043.0
2023,Kansas,1959615.0,175950.0,47336.0,98065.0,30549.0
2020,Kentucky,1831363.0,158548.0,34343.0,85688.0,40107.0
2021,Kentucky,2574553.0,211362.0,48846.0,114954.0,47562.0
2022,Kentucky,1898931.0,145442.0,33519.0,73603.0,38320.0
2023,Kentucky,2586799.0,205658.0,50692.0,110659.0,44307.0
2020,Louisiana,156619.0,65819.0,17980.0,35795.0,12044.0
2021,Louisiana,1006719.0,203858.0,55267.0,110109.0,38482.0
2022,Louisiana,995338.0,227167.0,59724.0,123533.0,43910.0
2023,Louisiana,1000232.0,216238.0,59557.0,116074.0,40607.0
2020,Maine,466254.0,27770.0,8205.0,16445.0,3120.0
2021,Maine,867337.0,44158.0,13300.0,26067.0,4791.0
2022,Maine,884682.0,43665.0,12977.0,26449.0,4239.0
2023,Maine,908893.0,43172.0,13354.0,24943.0,4875.0
2020,Maryland,59008.0,30334.0,5125.0,22846.0,2363.0
2021,Maryland,137192.0,91979.0,26281.0,56931.0,8767.0
2022,Maryland,923036.0,226745.0,59612.0,140301.0,26832.0
2023,Maryland,1410060.0,309603.0,77452.0,206129.0,26022.0
2020,Massachusetts,6993995.0,244872.0,68369.0,163314.0,13189.0
2021,Massachusetts,7384968.0,221092.0,71806.0,133902.0,15384.0
2022,Massachusetts,7341288.0,225442.0,74495.0,136666.0,14281.0
2023,Massachusetts,7117963.0,228815.0,72860.0,140562.0,15393.0
2020,Michigan,6937365.0,423874.0,152516.0,229466.0,42353.0
2021,Michigan,6974521.0,441483.0,161914.0,232086.0,47483.0
2022,Michigan,6883934.0,458004.0,163404.0,251191.0,43409.0
2023,Michigan,6740034.0,464362.0,163546.0,257899.0,42917.0
2020,Minnesota,2007594.0,130373.0,24900.0,89862.0,15611.0
2021,Minnesota,4099670.0,276037.0,49986.0,188393.0,37658.0
2022,Minnesota,4175828.0,262617.0,49495.0,177636.0,35486.0
2023,Minnesota,4158791.0,234454.0,49245.0,157564.0,27645.0
2020,Mississippi,575244.0,54070.0,13720.0,30345.0,11693.0
2021,Mississippi,905502.0,90961.0,23323.0,47549.0,20089.0
2022,Mississippi,857038.0,81971.0,21821.0,42941.0,17209.0
2023,Mississippi,830311.0,74448.0,19558.0,37335.0,17555.0
2020,Missouri,1948766.0,211811.0,49525.0,125444.0,36842.0
2021,Missouri,3536008.0,339251.0,79979.0,196247.0,63025.0
2022,Missouri,3805890.0,361554.0,84956.0,215172.0,61426.0
